UES9151GS5,SQU6245R,DEN,FRA,1420564460,1049
UES9151GS5,XXQ4064B,JFK,FRA,1420563917,802
EZC9678QI6,SOH3431A,ORD,MIA,1420563649,250
ONL0812DH1,SOH3431A,ORD,MIA,1420563649,250
CYJ0225CH1,PME8178S,DEN,PEK,1420564409,1322
POP2875LH3,MBA8071P,KUL,PEK,1420563856,572
WTC9125IE5,MOO1786A,MAD,FRA,1420563408,184
EDV2089LK5,HUR0974O,DEN,PVG,1420564525,1398
UES9151GS5,GMO5938W,LHR,PEK,1420564317,1057
HCA3158QA6,XXQ4064B,JFK,FRA,1420563917,802
YMH6360YP0,DAU2617A,CGK,SFO,1420564986,1811
PUD8209OG3,RUM0422W,MUC,MAD,1420563539,194
PAJ3974RK1,ATT7791R,AMS,DEN,1420564394,1001
UES9151GS5,WPW9201U,DFW,PEK,1420564869,1452
WYU2010YH8,XXQ4064B,JFK,FRA,1420563917,802
JJM4724RF7,HUR0974O,DEN,PVG,1420564525,1398
MXU9187YC7,XXQ4064B,JFK,FRA,1420563917,802
HGO4350KK1,RUM0422W,MUC,MAD,1420563539,194
PUD8209OG3,MBA8071P,KUL,PEK,1420563856,572
WTC9125IE5,DKZ3042O,MIA,SFO,1420563927,538
BWI0520BG6,QHU1140O,CDG,LAS,1420564498,1133
EDV2089LK5,ULZ8130D,CAN,DFW,1420564983,1683
UES9151GS5,GMO5938W,LHR,PEK,1420564317,1057
JBE2302VO4,VYU9214I,ORD,DXB,1420564716,1510
UES9151GS5,SQU6245R,DEN,FRA,1420564460,1049
BWI0520BG6,HZT2506M,IAH,AMS,1420564324,1044
YMH6360YP0,RUM0422W,MUC,MAD,1420563539,194
DAZ3029XA0,EWH6301Y,CAN,DFW,1420564967,1683
PIT2755XC1,SOH3431A,ORD,MIA,1420563649,250
WTC9125IE5,DKZ3042O,MIA,SFO,1420563927,538
POP2875LH3,VYW5940P,LAS,SIN,1420565203,1843
MXU9187YC7,QHU1140O,CDG,LAS,1420564498,1133
EZC9678QI6,VYU9214I,ORD,DXB,1420564716,1510
CYJ0225CH1,WSK1289Z,CLT,DEN,1420563542,278
DAZ3029XA0,TMV7633W,CGK,DXB,1420563958,849
EZC9678QI6,VYW5940P,LAS,SIN,1420565203,1843
CKZ3132BR4,FYL5866L,ATL,HKG,1420565140,1751
JBE2302VO4,SQU6245R,DEN,FRA,1420564460,1049
UES9151GS5,QHU1140O,CDG,LAS,1420564498,1133
CXN7304ER2,GMO5938W,LHR,PEK,1420564317,1057
WBE6935NU3,VYU9214I,ORD,DXB,1420564716,1510
HCA3158QA6,BER7172M,KUL,LAS,1420565167,1848
EDV2089LK5,WSK1289Z,CLT,DEN,1420563542,278
IEG9308EA5,SOH3431A,ORD,MIA,1420563649,250
WYU2010YH8,JVY9791G,PVG,FCO,1420564561,1189
SJD8775RZ4,SQU6245R,DEN,FRA,1420564460,1049
SJD8775RZ4,DAU2617A,CGK,SFO,1420564986,1811
HCA3158QA6,GMO5938W,LHR,PEK,1420564317,1057
CDC0302NN5,JVY9791G,PVG,FCO,1420564561,1189
BWI0520BG6,VDC9164W,FCO,LAS,1420564698,1276
HCA3158QA6,MBA8071P,KUL,PEK,1420563856,572
KKP5277HZ7,KJR6646J,IAH,BKK,1420565203,1928
SJD8775RZ4,TMV7633W,CGK,DXB,1420563958,849
